Eddard,Stark,Ned@westeros.net,Research & Development,100,197
Benjen,Stark,ColdHands@westeros.net,Auditing,601,112
Catelyn,Stark,Mother@westeros.net,Human Resources,302,102
Arya,Stark,A_Girl@westeros.net,Research & Development,103,165
Robb,Stark,YoungWolf@westeros.net,Research & Development,104,102
Sansa,Stark,LittleDove@westeros.net,Research & Development,105,162
Bran,Stark,TheRaven@westeros.net,Research & Development,106,188
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107,137
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608,124
Tyrion,Lannister,TheImp@westeros.net,Accounting,409,138
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410,171
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411,124
Robert,Baratheon,TheUsurper@westeros.net,Sales,512,158
Stannis,Baratheon,ThePromised@westeros.net,Sales,513,188
Renly,Baratheon,SummerKing@westeros.net,Sales,514,110
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215,172
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216,162
