Eddard,Stark,Ned@westeros.net,Research & Development,109
Benjen,Stark,ColdHands@westeros.net,Auditing,673
Catelyn,Stark,Mother@westeros.net,Human Resources,341
Arya,Stark,A_Girl@westeros.net,Research & Development,149
Robb,Stark,YoungWolf@westeros.net,Research & Development,134
Sansa,Stark,LittleDove@westeros.net,Research & Development,117
Bran,Stark,TheRaven@westeros.net,Research & Development,176
Rickon,Stark,Shaggydog@westeros.net,Research & Development,123
Jon,Snow,TheGhostBrother@westeros.net,Auditing,656
Tyrion,Lannister,TheImp@westeros.net,Accounting,474
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,420
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,416
Robert,Baratheon,TheUsurper@westeros.net,Sales,507
Stannis,Baratheon,ThePromised@westeros.net,Sales,513
Renly,Baratheon,SummerKing@westeros.net,Sales,585
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,233
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,260
