Eddard,Stark,Ned@westeros.net,Research & Development,136
Benjen,Stark,ColdHands@westeros.net,Auditing,658
Catelyn,Stark,Mother@westeros.net,Human Resources,374
Arya,Stark,A_Girl@westeros.net,Research & Development,139
Robb,Stark,YoungWolf@westeros.net,Research & Development,109
Sansa,Stark,LittleDove@westeros.net,Research & Development,145
Bran,Stark,TheRaven@westeros.net,Research & Development,124
Rickon,Stark,Shaggydog@westeros.net,Research & Development,100
Jon,Snow,TheGhostBrother@westeros.net,Auditing,606
Tyrion,Lannister,TheImp@westeros.net,Accounting,464
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,462
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,412
Robert,Baratheon,TheUsurper@westeros.net,Sales,516
Stannis,Baratheon,ThePromised@westeros.net,Sales,510
Renly,Baratheon,SummerKing@westeros.net,Sales,515
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,216
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,264
